date,year_of,month_of,sname,birth,sex,grp,stime,min,age_sample,activity
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,2,7.994524298425736,Feed
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,3,7.994524298425736,Feed
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,4,7.994524298425736,Feed
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,5,7.994524298425736,Walk
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,6,7.994524298425736,Feed
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,7,7.994524298425736,Walk
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,8,7.994524298425736,Walk
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,1,8.2984257357974,Feed
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,2,8.2984257357974,Walk
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,3,8.2984257357974,Feed
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,4,8.2984257357974,Walk
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,5,8.2984257357974,Walk
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,6,8.2984257357974,Walk
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,7,8.2984257357974,Walk
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,8,8.2984257357974,Feed
2000-01-08,2000,Jan,ECH,1991-09-21,Female,1.21,09:35:00,9,8.2984257357974,Feed
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,1,7.991786447638604,Groom
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,2,7.991786447638604,Groom
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,3,7.991786447638604,Rest
